Deutsch;Portugiesisch
siebzig;setenta
fünfzig;cinquenta
dreißig;trinta
hundert;cem
Wen können wir einladen?;Quem nós podemos convidar?
Ist heute dein Geburtstag?;Hoje é o seu aniversário?
Wir können eine Party organisieren.;Nós podemos organizar uma festa.
Studierst du vormittags?;Você estuda de manhã?
Morgen um halb eins (wörtl. Mittag und halb).;Amanhã ao meio-dia e meia.
fünfzehn;quinze
zwanzig;vinte
siebzehn;dezessete
neunzehn;dezenove
elf;onze
dreizehn;treze
sechzehn;dezesseis
vierzehn;quatorze
zwölf;doze
achtzehn;dezoito
Wollen wir morgen ein Bier trinken gehen?;Vamos beber uma cerveja amanhã?
Heute arbeite ich bis zehn.;Hoje eu trabalho até as dez.
der Sonntag;o domingo
der Montag;a segunda-feira
der Dienstag;a terça-feira
der Samstag;o sábado
das Wochenende;o fim de semana
der Mittwoch;a quarta-feira
der Freitag;a sexta-feira
der Donnerstag;a quinta-feira
Sie brauchen die Mutter.;Eles precisam da mãe.
Wer ist seine Schwester?;Quem é irmã dele?
Wo ist ihr Vater?;Onde está o pai deles?
dein Cousin – deine Cousine;o seu primo – a sua prima
unser Onkel – unsere Tante;o nosso tio – a nossa tia
Sie ist unsere Freundin.;Ela é a nossa amiga.
mein Großvater – meine Großmutter;o meu avô – a minha avó
Wer ist deine Ehefrau?;Quem é a sua esposa?
Ist er ihr (fester) Freund?;Ele é o namorado dela?
Hier ist das Wechselgeld.;Aqui está o troco.
Wie viel macht (wörtl. gibt) das?;Quanto dá tudo?
acht;oito
sieben;sete
eins;um
neun;nove
sechs;seis
drei;três
fünf;cinco
zehn;dez
vier;quatro
zwei;dois
Für mich nur einen Kaffee.;Para mim, só um café.
Ein Wasser, bitte.;Uma água, por favor.
Ich trinke kein Bier.;Eu não bebo cerveja.
Bist du traurig?;Você está triste?
Sie ist zufrieden.;Ela está contente.
Der Junge ist groß.;O menino é grande.
Meine Eltern sind intelligent.;Meus pais são inteligentes.
Die Mädchen sind stark.;As meninas são fortes.
Bist du krank?;Você está doente?
Geht's ihr besser?;Ela está melhor?
Wie (wörtl. Welcher) ist dein Nachname?;Qual é o seu sobrenome?
Wer sind sie?;Quem são eles?
Mein Name ist Maria.;Meu nome é Maria.
Ich habe (es) nicht verstanden.;Eu não entendi.
Wir sprechen kein Deutsch.;Nós não falamos alemão.
Sprecht ihr auch Englisch?;Vocês também falam inglês?
Ich spreche nur Französisch.;Eu só falo francês.
Sind sie Italiener?;Eles são italianos?
Wir sind Brasilianerinnen.;Nós somos brasileiras.
Woher kommst (wörtl. bist) du?;De onde você é?
sie (männl., Mehrzahl);eles
wir – wir (wörtl. die Leute);nós – a gente
ihr;vocês
sie (weibl., Mehrzahl);elas
Tschüss;tchau
sehr erfreut;muito prazer
nichts zu danken;de nada
ich;eu
du;você
